Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104016,PE480,st04,background,-,10,t0,1,0,4/9/2021,50,3190.4,72.1,45,64.89,0.035,55.0875,9.77635572439956,-0.2623333333333333,0.266843274851238
N2104017,PE480,st04,background,-,10,t0,2,0,4/9/2021,20,891.7,20.15,45,45.3375,-0.341,55.0875,9.77635572439956,-0.2623333333333333,0.266843274851238
N2104018,PE480,st04,background,-,10,t0,3,0,4/9/2021,20,1082.4,24.46,45,55.035,-0.481,55.0875,9.77635572439956,-0.2623333333333333,0.266843274851238
N2104230,PE480,st11,background,-,NA,t0,1,0,6/7/2021,50,2920.7,66.01,45,59.409,-0.654,60.648,1.2652711171918865,NA,NA
N2104231,PE480,st11,background,-,NA,t0,2,0,6/7/2021,50,3045,68.82,45,61.938,NA,60.648,1.2652711171918865,NA,NA
N2104232,PE480,st11,background,-,NA,t0,3,0,6/7/2021,50,2979.1,67.33,45,60.597,NA,60.648,1.2652711171918865,NA,NA
N2104164,PE480,st04,background,-,NA,t1,1,24,4/16/2021,50,3393,76.68,45,69.012,-0.808,63.378,5.907230061543227,-0.38866666666666666,0.41458453098654485
N2104165,PE480,st04,background,-,NA,t1,2,24,4/16/2021,50,2813.9,63.59,45,57.231,0.021,63.378,5.907230061543227,-0.38866666666666666,0.41458453098654485
N2104166,PE480,st04,background,-,NA,t1,3,24,4/16/2021,50,3141.2,70.99,45,63.891,-0.379,63.378,5.907230061543227,-0.38866666666666666,0.41458453098654485
N2104233,PE480,st11,background,-,NA,t1,1,24,6/7/2021,50,3090.6,69.85,45,62.865,-0.902,61.458,1.7175700859062522,-1.0786666666666667,0.16546097223615402
N2104234,PE480,st11,background,-,NA,t1,2,24,6/7/2021,50,2927.6,66.16,45,59.544,-1.23,61.458,1.7175700859062522,-1.0786666666666667,0.16546097223615402
N2104235,PE480,st11,background,-,NA,t1,3,24,6/7/2021,50,3046.6,68.85,45,61.965,-1.104,61.458,1.7175700859062522,-1.0786666666666667,0.16546097223615402
N2104085,PE480,st04,PP,D01,NA,t1,1,24,4/14/2021,50,3280.4,74.14,45,66.726,93.173,65.544,1.6303999509322857,94.85533333333333,1.5372944849095531
N2104087,PE480,st04,PP,D01,NA,t1,2,24,4/14/2021,50,3131.1,70.76,45,63.684,96.187,65.544,1.6303999509322857,94.85533333333333,1.5372944849095531
N2104089,PE480,st04,PP,D01,NA,t1,3,24,4/14/2021,50,3255.7,73.58,45,66.222,95.206,65.544,1.6303999509322857,94.85533333333333,1.5372944849095531
N2104161,PE480,st04,PP,D01,NA,t2,1,72,4/16/2021,50,3266.6,73.83,45,66.447,92.978,66.345,0.09236882591004741,125.84599999999999,53.47693944122083
N2104162,PE480,st04,PP,D01,NA,t2,2,72,4/16/2021,50,3257.8,73.63,45,66.267,187.552,66.345,0.09236882591004741,125.84599999999999,53.47693944122083
N2104163,PE480,st04,PP,D01,NA,t2,3,72,4/16/2021,50,3260.6,73.69,45,66.321,97.008,66.345,0.09236882591004741,125.84599999999999,53.47693944122083
N2104130,PE480,st04,PP,D01,NA,t3,1,144,4/15/2021,50,3006.2,67.94,45,61.146,100.857,57.117000000000004,4.6677329615135434,165.491,115.0584246893725
N2104131,PE480,st04,PP,D01,NA,t3,2,144,4/15/2021,50,2861.4,64.67,45,58.203,298.333,57.117000000000004,4.6677329615135434,165.491,115.0584246893725
N2104132,PE480,st04,PP,D01,NA,t3,3,144,4/15/2021,50,2556.7,57.78,45,52.002,97.283,57.117000000000004,4.6677329615135434,165.491,115.0584246893725
N2104082,PE480,st04,PP,D02,NA,t1,1,24,4/13/2021,50,3131.6,70.77,45,63.693,335.296,63.72,2.6326038441056796,251.53333333333333,132.33199888663864
N2104083,PE480,st04,PP,D02,NA,t1,2,24,4/13/2021,50,3262.9,73.74,45,66.366,320.33,63.72,2.6326038441056796,251.53333333333333,132.33199888663864
N2104084,PE480,st04,PP,D02,NA,t1,3,24,4/13/2021,50,3003.9,67.89,45,61.101,98.974,63.72,2.6326038441056796,251.53333333333333,132.33199888663864
